ID Fornecedor,Nome do Produto,Preço,Frete Grátis,Quantidade Disponível,Escolha Ideal,Avaliação do Cliente,Localização do Fornecedor,Tempo de Mercado (anos),Práticas Sustentáveis
52,Console de Videogame,4845.71,False,96,True,2,São Paulo,20,False
93,Jogo de Toalhas,243.34,True,63,True,2,Minas Gerais,8,True
15,Faca de Cozinha,94.75,True,66,True,5,São Paulo,2,True
72,Drone,2911.89,False,39,True,1,São Paulo,10,False
61,Camisa,84.48,False,66,True,3,Paraná,20,True
21,Óculos de Sol,236.77,False,46,False,2,Rio de Janeiro,3,True
83,Panela,103.23,True,15,True,1,Minas Gerais,10,True
87,Tênis Esportivo,492.49,False,16,False,4,Rio de Janeiro,16,True
75,Tênis Esportivo,189.15,False,90,True,5,Paraná,5,True
75,Mochila,401.13,True,72,True,5,Rio de Janeiro,18,True
88,Perfume,303.51,False,16,False,5,Santa Catarina,9,False
24,Laptop,5451.37,False,85,True,4,Minas Gerais,5,False
3,Camisa,106.05,True,39,True,2,Santa Catarina,14,False
22,Calças Jeans,116.59,False,11,False,2,Minas Gerais,3,False
53,Drone,500.98,True,88,True,4,Paraná,19,True
2,Livro,72.85,False,36,False,1,Minas Gerais,15,False
88,Livro,34.01,False,18,True,5,Santa Catarina,9,False
30,Faca de Cozinha,118.27,False,23,True,2,Minas Gerais,20,False
38,Livro,58.97,True,77,False,4,Paraná,1,True
2,Cafeteira,372.06,False,49,True,3,São Paulo,16,False
64,Headphones,313.48,False,42,False,4,Paraná,10,False
60,Console de Videogame,4502.5,False,44,True,2,São Paulo,14,True
21,Cafeteira,262.81,False,1,True,5,Santa Catarina,13,True
33,Cafeteira,286.07,True,7,False,5,Santa Catarina,3,True
76,Perfume,183.91,False,48,True,2,Santa Catarina,14,True
58,Tênis Esportivo,477.34,False,85,False,3,Santa Catarina,19,False
22,Bicicleta,976.06,False,16,True,2,Paraná,14,False
89,Livro,47.8,False,48,False,2,Rio de Janeiro,20,False
49,Bicicleta,790.4,True,78,False,5,Minas Gerais,20,True
91,Console de Videogame,3298.41,True,43,False,5,Santa Catarina,6,True
59,Torradeira,226.65,True,51,False,4,São Paulo,6,True
42,Bicicleta,995.93,False,66,True,3,Rio de Janeiro,14,True
92,Panela,123.82,True,31,False,3,Minas Gerais,14,True
60,Relógio,597.58,True,39,True,2,Minas Gerais,7,False
80,Drone,2273.82,True,9,True,2,São Paulo,6,True
15,Drone,1617.67,False,41,True,3,São Paulo,10,False
62,Faca de Cozinha,90.0,False,63,False,1,São Paulo,10,False
62,Jogo de Toalhas,126.89,True,14,False,3,Santa Catarina,19,False
47,Óculos de Sol,196.8,False,58,True,5,Paraná,3,False
62,Relógio,448.87,False,74,True,1,Santa Catarina,2,True
51,Travesseiro,99.14,False,88,True,2,Rio de Janeiro,8,True
55,Smartphone,1936.77,True,97,False,2,Paraná,5,False
64,Drone,2437.06,False,98,False,5,Santa Catarina,19,True
3,Camisa,76.85,False,84,False,1,Paraná,9,True
51,Calças Jeans,291.94,True,64,True,1,Paraná,10,False
7,Torradeira,289.1,False,28,False,4,São Paulo,10,True
21,Relógio,760.03,False,4,False,1,Santa Catarina,7,False
73,Óculos de Sol,773.47,True,34,False,3,São Paulo,5,True
39,Drone,2778.31,True,4,False,4,São Paulo,14,True
18,Relógio,328.97,False,70,True,2,São Paulo,14,False
4,Smartphone,2747.03,False,58,True,3,Santa Catarina,6,True
89,Relógio,348.53,False,86,True,3,Rio de Janeiro,14,False
60,Panela,253.02,True,4,True,5,Paraná,14,False
14,Mochila,343.68,True,50,False,5,Minas Gerais,16,True
9,Faca de Cozinha,111.5,False,5,True,3,São Paulo,3,True
90,Headphones,422.1,False,75,True,5,Minas Gerais,12,True
53,Camisa,56.56,False,45,True,5,São Paulo,15,False
2,Camisa,158.92,False,35,True,4,Minas Gerais,7,False
84,Jogo de Toalhas,292.08,True,83,True,3,Minas Gerais,15,True
92,Cafeteira,324.39,False,75,False,5,Paraná,14,True
60,Óculos de Sol,571.25,True,75,True,2,Minas Gerais,2,False
71,Calças Jeans,156.8,True,27,False,5,Minas Gerais,14,False
44,Relógio,575.63,True,2,False,4,Minas Gerais,6,False
8,Bicicleta,1955.01,False,54,False,4,Santa Catarina,14,True
47,Smartphone,1337.73,True,72,True,5,Minas Gerais,1,False
35,Faca de Cozinha,127.27,True,98,True,5,São Paulo,18,True
78,Laptop,5342.92,False,84,False,4,Santa Catarina,10,False
81,Relógio,460.33,False,87,True,4,Santa Catarina,6,False
36,Panela,64.59,True,79,False,5,Paraná,2,True
50,Jogo de Toalhas,286.41,False,48,False,1,Santa Catarina,9,True
4,Laptop,3042.56,True,77,True,5,Paraná,6,False
2,Relógio,506.51,False,95,True,4,Santa Catarina,17,False
6,Perfume,342.09,True,49,False,1,Minas Gerais,1,True
54,Panela,111.93,True,78,True,1,São Paulo,6,True
4,Laptop,3691.01,False,1,False,1,São Paulo,19,True
54,Relógio,315.56,False,91,False,2,São Paulo,17,False
93,Camisa,161.16,False,33,True,5,Paraná,2,False
63,Panela,134.94,True,35,False,2,São Paulo,20,False
18,Laptop,5823.08,True,54,True,2,Santa Catarina,6,True
90,Bicicleta,622.74,False,56,True,5,Santa Catarina,17,False
44,Relógio,448.63,True,15,False,1,Rio de Janeiro,19,True
34,Jogo de Toalhas,79.3,False,69,True,3,São Paulo,9,True
74,Calças Jeans,231.05,True,4,False,4,Minas Gerais,1,False
62,Drone,2926.97,True,84,True,2,Rio de Janeiro,14,False
14,Faca de Cozinha,100.9,False,64,False,4,Rio de Janeiro,4,True
95,Cafeteira,164.68,False,22,False,4,Santa Catarina,8,True
48,Relógio,219.83,True,24,False,2,Rio de Janeiro,17,True
15,Tênis Esportivo,174.4,True,47,True,5,Santa Catarina,5,True
72,Livro,72.37,True,75,False,5,Santa Catarina,5,False
78,Jogo de Toalhas,140.0,True,6,False,4,Minas Gerais,17,False
87,Calças Jeans,174.11,False,27,False,5,Minas Gerais,10,True
62,Laptop,5755.03,False,10,True,2,São Paulo,12,False
40,Mochila,286.7,False,39,False,5,Paraná,5,True
85,Panela,197.01,True,74,False,1,Rio de Janeiro,16,False
80,Tênis Esportivo,180.88,True,90,False,3,Minas Gerais,16,False
82,Relógio,593.46,True,37,True,5,Paraná,9,True
53,Relógio,485.17,True,54,False,1,São Paulo,15,True
24,Cafeteira,188.62,False,97,True,5,Minas Gerais,14,False
26,Tênis Esportivo,172.21,False,51,True,2,Minas Gerais,10,True
89,Panela,130.26,False,60,True,5,Minas Gerais,3,False
60,Panela,77.22,True,72,True,2,Paraná,11,False
41,Relógio,314.15,False,51,True,4,Santa Catarina,4,True
29,Laptop,5765.43,False,62,False,3,Santa Catarina,9,True
15,Cafeteira,182.44,False,49,False,1,Minas Gerais,6,True
45,Camisa,101.46,False,51,True,5,São Paulo,1,True
65,Tênis Esportivo,654.48,True,28,True,1,Minas Gerais,16,True
89,Drone,2194.47,True,36,False,3,Santa Catarina,16,False
71,Calças Jeans,261.19,False,25,False,5,Minas Gerais,2,False
9,Relógio,599.45,False,36,False,1,Santa Catarina,10,False
88,Mochila,389.34,False,77,True,4,São Paulo,11,True
1,Smartphone,2424.43,False,60,False,3,Minas Gerais,15,True
8,Smartphone,2536.94,False,7,False,2,São Paulo,11,True
88,Cafeteira,157.21,True,65,True,4,Rio de Janeiro,5,False
63,Tênis Esportivo,779.65,False,73,True,4,Paraná,3,True
11,Console de Videogame,4996.79,False,92,False,4,Santa Catarina,5,False
81,Óculos de Sol,136.36,False,36,False,3,São Paulo,8,False
8,Panela,208.91,True,94,True,1,Minas Gerais,7,False
35,Smartphone,2095.74,True,73,False,2,Minas Gerais,16,False
35,Smartphone,2898.31,True,30,False,2,São Paulo,16,False
33,Jogo de Toalhas,69.92,True,99,False,1,Rio de Janeiro,17,True
5,Calças Jeans,128.39,True,47,False,4,Minas Gerais,11,False
41,Torradeira,290.6,False,91,False,3,Rio de Janeiro,13,False
28,Smartphone,1896.82,False,29,True,3,Paraná,3,True
7,Torradeira,190.43,True,5,False,2,Rio de Janeiro,11,False
73,Headphones,315.9,True,65,False,5,Santa Catarina,17,False
72,Console de Videogame,3116.14,True,69,True,3,São Paulo,8,False
12,Mochila,479.03,False,63,False,5,São Paulo,13,False
34,Travesseiro,112.34,True,93,False,4,Santa Catarina,10,False
33,Drone,2368.23,True,56,True,2,Minas Gerais,5,False
48,Travesseiro,135.59,True,17,True,4,Paraná,5,True
23,Camisa,54.57,False,51,False,2,Minas Gerais,13,False
62,Calças Jeans,200.53,True,37,True,3,São Paulo,7,True
88,Drone,1891.58,False,88,False,4,Paraná,6,False
37,Laptop,5607.43,False,91,False,4,Minas Gerais,5,False
99,Calças Jeans,174.88,False,9,True,5,Santa Catarina,10,True
44,Camisa,154.24,False,38,True,5,Santa Catarina,9,True
86,Camisa,85.79,False,53,False,1,Rio de Janeiro,1,True
91,Tênis Esportivo,337.49,True,13,False,3,Rio de Janeiro,7,True
35,Torradeira,139.59,False,90,False,4,Rio de Janeiro,1,True
65,Jogo de Toalhas,177.34,False,53,True,2,Santa Catarina,3,True
99,Calças Jeans,240.57,False,75,True,2,Santa Catarina,1,True
47,Relógio,380.62,True,88,False,5,Minas Gerais,14,False
78,Torradeira,54.37,False,97,False,5,Paraná,5,True
3,Smartphone,1911.29,False,49,False,2,São Paulo,7,False
1,Travesseiro,101.6,False,70,False,4,Paraná,14,True
5,Camisa,162.67,True,35,False,5,Santa Catarina,6,True
90,Drone,1266.3,False,16,False,5,Santa Catarina,5,False
14,Travesseiro,47.42,False,13,False,3,São Paulo,4,False
27,Bicicleta,1278.11,False,11,False,4,São Paulo,14,False
9,Travesseiro,107.99,False,87,False,4,Paraná,6,True
79,Bicicleta,1646.14,False,2,True,3,Rio de Janeiro,10,True
15,Torradeira,165.12,False,94,True,1,Rio de Janeiro,8,True
